district_num,district,name,party,tally,district_total_tally,pct,winner,incumbent,major_party
1,First,Bob Andrzejczak,Democratic,32554,104187,0.3124574083138971,1,1,1
1,First,R. Bruce Land,Democratic,30938,104187,0.2969468359776172,1,1,1
1,First,James R. Sauro,Republican,20445,104187,0.19623369518270034,0,0,1
1,First,Robert G. Campbell,Republican,20250,104187,0.19436206052578536,0,0,1
2,Second,Vince Mazzeo,Democratic,27601,96635,0.2856211517566099,1,1,1
2,Second,John Armato,Democratic,25683,96635,0.26577327055414707,1,0,1
2,Second,Vince Sera,Republican,20814,96635,0.21538779945154446,0,0,1
2,Second,Brenda Taube,Republican,20611,96635,0.21328711129507943,0,0,1
2,Second,Heather Gordon,"Independent, Honest, Reliable",1208,96635,0.012500646763594971,0,0,0
2,Second,Mico Lucide,Green Party,718,96635,0.007430020179024163,0,0,0
3,Third,John J. Burzichelli,Democratic,31853,105114,0.3030328976159218,1,1,1
3,Third,Adam Taliaferro,Democratic,30733,105114,0.29237779934166713,1,1,1
3,Third,Philip J. Donohue,Republican,21758,105114,0.2069943109386,0,0,1
3,Third,Linwood H. Donelson Iii,Republican,20181,105114,0.1919915520292254,0,0,1
3,Third,Edward R. Durr,One For All,589,105114,0.005603440074585688,0,0,0
4,Fourth,Paul D. Moriarty,Democratic,32892,102033,0.32236629325806354,1,1,1
4,Fourth,Gabriela M. Mosquera,Democratic,31800,102033,0.31166387345270646,1,1,1
4,Fourth,Patricia Jefferson Kline,Republican,18386,102033,0.18019660305979437,0,0,1
4,Fourth,Eduardo J. Maldonado,Republican,17761,102033,0.1740711338488528,0,0,1
4,Fourth,William Mccauley Jr.,"Represent, Not Rule",1194,102033,0.011702096380582753,0,0,0
5,Fifth,Patricia Egan Jones,Democratic,29282,84632,0.34599205974099634,1,1,1
5,Fifth,Arthur Barclay,Democratic,27544,84632,0.32545609225824745,1,1,1
5,Fifth,Teresa L. Gordon,Republican,14181,84632,0.16756073352868892,0,0,1
5,Fifth,Kevin Ehret,Republican,13625,84632,0.1609911144720673,0,0,1
6,Sixth,Louis D. Greenwald,Democratic,41767,116025,0.35998276233570353,1,1,1
6,Sixth,Pamela R. Lampitt,Democratic,40291,116025,0.3472613660848955,1,1,1
6,Sixth,David C. Moy,Republican,16811,116025,0.14489118724412842,0,0,1
6,Sixth,Winston Extavour,Republican,16335,116025,0.14078862314156432,0,0,1
6,Sixth,Monica Sohler,American Solidarity Party,821,116025,0.007076061193708252,0,0,0
